epoch,global_step,lr-AdamW,lr_abs,step,train/loss_epoch,train/loss_simple_epoch,train/loss_simple_step,train/loss_step,train/loss_vlb_epoch,train/loss_vlb_step,val/loss,val/loss_ema,val/loss_simple,val/loss_simple_ema,val/loss_vlb,val/loss_vlb_ema
,,1.2e-05,,499,,,,,,,,,,,,
21,499.0,,1.2000000424450263e-05,499,,,0.28400877118110657,0.28400877118110657,,0.0015116140712052584,,,,,,
21,,,,505,,,,,,,0.341902494430542,0.39752188324928284,0.341902494430542,0.39752188324928284,0.0016258461400866508,0.0020353421568870544
21,,,,505,0.4263262450695038,0.4263262450695038,,,0.002502820920199156,,,,,,,
22,,,,528,,,,,,,0.49026861786842346,0.3837772011756897,0.49026861786842346,0.3837772011756897,0.0021471513900905848,0.001714876270852983
22,,,,528,0.5061861872673035,0.5061861872673035,,,0.015867652371525764,,,,,,,
,,1.2e-05,,549,,,,,,,,,,,,
23,549.0,,1.2000000424450263e-05,549,,,0.316555380821228,0.316555380821228,,0.0014127065660431981,,,,,,
23,,,,551,,,,,,,0.3702823519706726,0.4267149865627289,0.3702823519706726,0.4267149865627289,0.0016783967148512602,0.0018370812758803368
23,,,,551,0.4059200584888458,0.4059200584888458,,,0.002323431894183159,,,,,,,
24,,,,574,,,,,,,0.5406501293182373,0.3985503315925598,0.5406501293182373,0.3985503315925598,0.00508334394544363,0.007418467663228512
24,,,,574,0.4063488841056824,0.4063488841056824,,,0.00268456875346601,,,,,,,
25,,,,597,,,,,,,0.33122241497039795,0.346574604511261,0.33122241497039795,0.346574604511261,0.003042926313355565,0.0017593132797628641
25,,,,597,0.44996532797813416,0.44996532797813416,,,0.0032051040325313807,,,,,,,
,,1.2e-05,,599,,,,,,,,,,,,
26,599.0,,1.2000000424450263e-05,599,,,0.47205591201782227,0.47205591201782227,,0.00481121800839901,,,,,,
26,,,,620,,,,,,,0.31359583139419556,0.42407363653182983,0.31359583139419556,0.42407363653182983,0.0014216401614248753,0.0020788053516298532
26,,,,620,0.38531792163848877,0.38531792163848877,,,0.002370808506384492,,,,,,,
27,,,,643,,,,,,,0.49737492203712463,0.4729592204093933,0.49737492203712463,0.4729592204093933,0.006166631821542978,0.0021963410545140505
27,,,,643,0.40591704845428467,0.40591704845428467,,,0.004554816987365484,,,,,,,
,,1.2e-05,,649,,,,,,,,,,,,
28,649.0,,1.2000000424450263e-05,649,,,0.20121973752975464,0.20121973752975464,,0.0010549369035288692,,,,,,
28,,,,666,,,,,,,0.32467013597488403,0.36528080701828003,0.32467013597488403,0.36528080701828003,0.0021722684614360332,0.003010211978107691
28,,,,666,0.3876229524612427,0.3876229524612427,,,0.011303518898785114,,,,,,,
29,,,,689,,,,,,,0.5066272020339966,0.4649757742881775,0.5066272020339966,0.4649757742881775,0.005543161649256945,0.002512225415557623
29,,,,689,0.47514426708221436,0.47514426708221436,,,0.003200407838448882,,,,,,,
,,1.2e-05,,699,,,,,,,,,,,,
30,699.0,,1.2000000424450263e-05,699,,,0.18638494610786438,0.18638494610786438,,0.0009407437173649669,,,,,,
30,,,,712,,,,,,,0.5249773263931274,0.3720730245113373,0.5249773263931274,0.3720730245113373,0.002381406258791685,0.0016544576501473784
30,,,,712,0.32056841254234314,0.32056841254234314,,,0.005649234633892775,,,,,,,
31,,,,735,,,,,,,0.26163122057914734,0.265188992023468,0.26163122057914734,0.265188992023468,0.004684207029640675,0.0013173528714105487
31,,,,735,0.33352845907211304,0.33352845907211304,,,0.0021398081444203854,,,,,,,
,,1.2e-05,,749,,,,,,,,,,,,
32,749.0,,1.2000000424450263e-05,749,,,0.22254803776741028,0.22254803776741028,,0.0009938321309164166,,,,,,
32,,,,758,,,,,,,0.5204703211784363,0.47078579664230347,0.5204703211784363,0.47078579664230347,0.0036413699854165316,0.002666971180588007
32,,,,758,0.3692100942134857,0.3692100942134857,,,0.0034915420692414045,,,,,,,
33,,,,781,,,,,,,0.49654850363731384,0.3632764220237732,0.49654850363731384,0.3632764220237732,0.002094706054776907,0.008508884347975254
33,,,,781,0.3529347777366638,0.3529347777366638,,,0.0037348191253840923,,,,,,,
,,1.2e-05,,799,,,,,,,,,,,,
34,799.0,,1.2000000424450263e-05,799,,,0.22643940150737762,0.22643940150737762,,0.0009853236842900515,,,,,,
34,,,,804,,,,,,,0.44011086225509644,0.23583810031414032,0.44011086225509644,0.23583810031414032,0.0017826281255111098,0.0010352544486522675
34,,,,804,0.32488885521888733,0.32488885521888733,,,0.001740425475873053,,,,,,,
35,,,,827,,,,,,,0.3830496668815613,0.2621602416038513,0.3830496668815613,0.2621602416038513,0.0022530362475663424,0.0023198879789561033
35,,,,827,0.33099493384361267,0.33099493384361267,,,0.0021209772676229477,,,,,,,
,,1.2e-05,,849,,,,,,,,,,,,
36,849.0,,1.2000000424450263e-05,849,,,0.3511384427547455,0.3511384427547455,,0.0014726535882800817,,,,,,
36,,,,850,,,,,,,0.32215970754623413,0.20198889076709747,0.32215970754623413,0.20198889076709747,0.0015288566937670112,0.0009674399043433368
36,,,,850,0.30919763445854187,0.30919763445854187,,,0.0017414764733985066,,,,,,,
37,,,,873,,,,,,,0.4161515235900879,0.3157443404197693,0.4161515235900879,0.3157443404197693,0.0025416577700525522,0.00262135686352849
37,,,,873,0.39282456040382385,0.39282456040382385,,,0.003031303873285651,,,,,,,
38,,,,896,,,,,,,0.44886717200279236,0.21800200641155243,0.44886717200279236,0.21800200641155243,0.003954640589654446,0.0010160172823816538
38,,,,896,0.30516818165779114,0.30516818165779114,,,0.001404689741320908,,,,,,,
,,1.2e-05,,899,,,,,,,,,,,,
39,899.0,,1.2000000424450263e-05,899,,,0.20161187648773193,0.20161187648773193,,0.0009114759741351008,,,,,,
39,,,,919,,,,,,,0.4023214876651764,0.18887284398078918,0.4023214876651764,0.18887284398078918,0.001612040214240551,0.0008745845407247543
39,,,,919,0.3511863946914673,0.3511863946914673,,,0.002069649286568165,,,,,,,
40,,,,942,,,,,,,0.3188331723213196,0.4395174980163574,0.3188331723213196,0.4395174980163574,0.0012457568664103746,0.0028244268614798784
40,,,,942,0.35659676790237427,0.35659676790237427,,,0.001969959121197462,,,,,,,
,,1.2e-05,,949,,,,,,,,,,,,
41,949.0,,1.2000000424450263e-05,949,,,0.4207804501056671,0.4207804501056671,,0.006713348440825939,,,,,,
41,,,,965,,,,,,,0.3713769316673279,0.5621873736381531,0.3713769316673279,0.5621873736381531,0.001522327191196382,0.0040399255231022835
41,,,,965,0.3081468343734741,0.3081468343734741,,,0.0021885517053306103,,,,,,,
42,,,,988,,,,,,,0.4640020430088043,0.3992818295955658,0.4640020430088043,0.3992818295955658,0.022892776876688004,0.00955070648342371
42,,,,988,0.3701128661632538,0.3701128661632538,,,0.0028784258756786585,,,,,,,
,,1.2e-05,,999,,,,,,,,,,,,
43,999.0,,1.2000000424450263e-05,999,,,0.24562209844589233,0.24562209844589233,,0.001023055869154632,,,,,,
43,,,,1011,,,,,,,0.2862855792045593,0.3811967074871063,0.2862855792045593,0.3811967074871063,0.0013036534655839205,0.001691890531219542
43,,,,1011,0.3166792690753937,0.3166792690753937,,,0.0015233963495120406,,,,,,,
44,,,,1034,,,,,,,0.6064133644104004,0.2996998429298401,0.6064133644104004,0.2996998429298401,0.013194918632507324,0.0015355419600382447
44,,,,1034,0.35224661231040955,0.35224661231040955,,,0.0018107384676113725,,,,,,,
,,1.2e-05,,1049,,,,,,,,,,,,
45,1049.0,,1.2000000424450263e-05,1049,,,0.13187777996063232,0.13187777996063232,,0.0006714320043101907,,,,,,
45,,,,1057,,,,,,,0.38128772377967834,0.32678383588790894,0.38128772377967834,0.32678383588790894,0.0015630859415978193,0.0016356123378500342
45,,,,1057,0.39950770139694214,0.39950770139694214,,,0.0029959268867969513,,,,,,,
46,,,,1080,,,,,,,0.3156867027282715,0.25779202580451965,0.3156867027282715,0.25779202580451965,0.0012954262783750892,0.001281090429984033
46,,,,1080,0.3593478798866272,0.3593478798866272,,,0.002461168682202697,,,,,,,
,,1.2e-05,,1099,,,,,,,,,,,,
47,1099.0,,1.2000000424450263e-05,1099,,,0.2397325336933136,0.2397325336933136,,0.001015892019495368,,,,,,
47,,,,1103,,,,,,,0.34305572509765625,0.6590626835823059,0.34305572509765625,0.6590626835823059,0.001632867963053286,0.04882511869072914
47,,,,1103,0.3558962047100067,0.3558962047100067,,,0.004365524277091026,,,,,,,
48,,,,1126,,,,,,,0.19617654383182526,0.32318970561027527,0.19617654383182526,0.32318970561027527,0.001316035515628755,0.0022466923110187054
48,,,,1126,0.2777489125728607,0.2777489125728607,,,0.0017806594260036945,,,,,,,
,,1.2e-05,,1149,,,,,,,,,,,,
49,1149.0,,1.2000000424450263e-05,1149,,,0.07245220243930817,0.07245220243930817,,0.00045824123662896454,,,,,,
49,,,,1149,,,,,,,0.26349765062332153,0.3273569643497467,0.26349765062332153,0.3273569643497467,0.0010932395234704018,0.0016678760293871164
49,,,,1149,0.31740802526474,0.31740802526474,,,0.0015799850225448608,,,,,,,
50,,,,1172,,,,,,,0.29570725560188293,0.36289501190185547,0.29570725560188293,0.36289501190185547,0.0013708999613299966,0.0020025810226798058
50,,,,1172,0.382434219121933,0.382434219121933,,,0.0042061638087034225,,,,,,,
51,,,,1195,,,,,,,0.1831967681646347,0.21510560810565948,0.1831967681646347,0.21510560810565948,0.0008245782810263336,0.0010147731518372893
51,,,,1195,0.3434551954269409,0.3434551954269409,,,0.002049058908596635,,,,,,,
,,1.2e-05,,1199,,,,,,,,,,,,
52,1199.0,,1.2000000424450263e-05,1199,,,0.5367575883865356,0.5367575883865356,,0.0022586602717638016,,,,,,
52,,,,1218,,,,,,,0.17424210906028748,0.5369116067886353,0.17424210906028748,0.5369116067886353,0.0008382272790186107,0.002227960154414177
52,,,,1218,0.34383895993232727,0.34383895993232727,,,0.0024038178380578756,,,,,,,
53,,,,1241,,,,,,,0.49603143334388733,0.26211532950401306,0.49603143334388733,0.26211532950401306,0.003618741873651743,0.005431528203189373
53,,,,1241,0.41856491565704346,0.41856491565704346,,,0.003756591584533453,,,,,,,
,,1.2e-05,,1249,,,,,,,,,,,,
54,1249.0,,1.2000000424450263e-05,1249,,,0.3602902889251709,0.3602902889251709,,0.0013604885898530483,,,,,,
54,,,,1264,,,,,,,0.436288058757782,0.36049094796180725,0.436288058757782,0.36049094796180725,0.00242826621979475,0.003674044506624341
54,,,,1264,0.38016659021377563,0.38016659021377563,,,0.002554172882810235,,,,,,,
55,,,,1287,,,,,,,0.2837856411933899,0.40281039476394653,0.2837856411933899,0.40281039476394653,0.0011338917538523674,0.00202106311917305
55,,,,1287,0.32634177803993225,0.32634177803993225,,,0.0024167881347239017,,,,,,,
,,1.2e-05,,1299,,,,,,,,,,,,
56,1299.0,,1.2000000424450263e-05,1299,,,0.4227343499660492,0.4227343499660492,,0.0021680439822375774,,,,,,
56,,,,1310,,,,,,,0.5139448046684265,0.2126627415418625,0.5139448046684265,0.2126627415418625,0.0027854712679982185,0.001012256252579391
56,,,,1310,0.3323410749435425,0.3323410749435425,,,0.0016158135840669274,,,,,,,
57,,,,1333,,,,,,,0.33507630228996277,0.398305743932724,0.33507630228996277,0.398305743932724,0.002579653402790427,0.003567939158529043
57,,,,1333,0.3148324489593506,0.3148324489593506,,,0.002247470198199153,,,,,,,
,,1.2e-05,,1349,,,,,,,,,,,,
58,1349.0,,1.2000000424450263e-05,1349,,,0.38416677713394165,0.38416677713394165,,0.0020661591552197933,,,,,,
58,,,,1356,,,,,,,0.4092469811439514,0.49403029680252075,0.4092469811439514,0.49403029680252075,0.011623409576714039,0.0022944402880966663
58,,,,1356,0.31302034854888916,0.31302034854888916,,,0.004624229855835438,,,,,,,
59,,,,1379,,,,,,,0.46692338585853577,0.2827725410461426,0.46692338585853577,0.2827725410461426,0.0020636380650103092,0.0015053513925522566
59,,,,1379,0.3035348355770111,0.3035348355770111,,,0.0022234150674194098,,,,,,,
,,1.2e-05,,1399,,,,,,,,,,,,
60,1399.0,,1.2000000424450263e-05,1399,,,0.07347217202186584,0.07347217202186584,,0.00045614116243086755,,,,,,
60,,,,1402,,,,,,,0.34548887610435486,0.3933301568031311,0.34548887610435486,0.3933301568031311,0.0043255845084786415,0.0017085730796679854
60,,,,1402,0.3864826560020447,0.3864826560020447,,,0.0023089656606316566,,,,,,,
61,,,,1425,,,,,,,0.38565880060195923,0.3955937623977661,0.38565880060195923,0.3955937623977661,0.005842433776706457,0.0022884435020387173
61,,,,1425,0.3293822705745697,0.3293822705745697,,,0.002381331752985716,,,,,,,
62,,,,1448,,,,,,,0.2632167935371399,0.38427770137786865,0.2632167935371399,0.38427770137786865,0.0011131599312648177,0.0015769221354275942
62,,,,1448,0.3181808590888977,0.3181808590888977,,,0.0020215394906699657,,,,,,,
,,1.2e-05,,1449,,,,,,,,,,,,
63,1449.0,,1.2000000424450263e-05,1449,,,0.11524853110313416,0.11524853110313416,,0.0005975135136395693,,,,,,
63,,,,1471,,,,,,,0.3246939778327942,0.4353667199611664,0.3246939778327942,0.4353667199611664,0.012336408719420433,0.0019449209794402122
63,,,,1471,0.3193865120410919,0.3193865120410919,,,0.0024727247655391693,,,,,,,
64,,,,1494,,,,,,,0.350353866815567,0.4236043095588684,0.350353866815567,0.4236043095588684,0.0017371533904224634,0.001706474693492055
64,,,,1494,0.3480931222438812,0.3480931222438812,,,0.002331104129552841,,,,,,,
,,1.2e-05,,1499,,,,,,,,,,,,
65,1499.0,,1.2000000424450263e-05,1499,,,0.3751874566078186,0.3751874566078186,,0.0024391300976276398,,,,,,
65,,,,1517,,,,,,,0.302284300327301,0.24965843558311462,0.302284300327301,0.24965843558311462,0.0012225036043673754,0.005641371943056583
65,,,,1517,0.30803290009498596,0.30803290009498596,,,0.0019047472160309553,,,,,,,
66,,,,1540,,,,,,,0.37593594193458557,0.48243245482444763,0.37593594193458557,0.48243245482444763,0.0017404159298166633,0.003689768258482218
66,,,,1540,0.29547426104545593,0.29547426104545593,,,0.004302916117012501,,,,,,,
,,1.2e-05,,1549,,,,,,,,,,,,
67,1549.0,,1.2000000424450263e-05,1549,,,0.15237882733345032,0.15237882733345032,,0.0007356309797614813,,,,,,
67,,,,1563,,,,,,,0.18623417615890503,0.10747842490673065,0.18623417615890503,0.10747842490673065,0.0008662238833494484,0.0005531816859729588
67,,,,1563,0.3613171875476837,0.3613171875476837,,,0.0032785760704427958,,,,,,,
68,,,,1586,,,,,,,0.2879764139652252,0.3911781311035156,0.2879764139652252,0.3911781311035156,0.0014219324802979827,0.0014642911264672875
68,,,,1586,0.3478621244430542,0.3478621244430542,,,0.004458950832486153,,,,,,,
,,1.2e-05,,1599,,,,,,,,,,,,
69,1599.0,,1.2000000424450263e-05,1599,,,0.528759241104126,0.528759241104126,,0.007804499473422766,,,,,,
69,,,,1609,,,,,,,0.2892990708351135,0.33120831847190857,0.2892990708351135,0.33120831847190857,0.0011684822384268045,0.0021224692463874817
69,,,,1609,0.3963528871536255,0.3963528871536255,,,0.0032366064842790365,,,,,,,
70,,,,1632,,,,,,,0.2871073782444,0.31917452812194824,0.2871073782444,0.31917452812194824,0.001206558314152062,0.0013340910663828254
70,,,,1632,0.29582586884498596,0.29582586884498596,,,0.0013731037033721805,,,,,,,
,,1.2e-05,,1649,,,,,,,,,,,,
71,1649.0,,1.2000000424450263e-05,1649,,,0.14884094893932343,0.14884094893932343,,0.0006956596625968814,,,,,,
71,,,,1655,,,,,,,0.26859530806541443,0.6120384931564331,0.26859530806541443,0.6120384931564331,0.0015915930271148682,0.01490589790046215
71,,,,1655,0.265021413564682,0.265021413564682,,,0.001489377347752452,,,,,,,
72,,,,1678,,,,,,,0.44862866401672363,0.37108999490737915,0.44862866401672363,0.37108999490737915,0.0027480788994580507,0.0014802938094362617
72,,,,1678,0.34211593866348267,0.34211593866348267,,,0.0027196980081498623,,,,,,,
,,1.2e-05,,1699,,,,,,,,,,,,
73,1699.0,,1.2000000424450263e-05,1699,,,0.4062740206718445,0.4062740206718445,,0.007177592720836401,,,,,,
73,,,,1701,,,,,,,0.1431892365217209,0.3407512307167053,0.1431892365217209,0.3407512307167053,0.0006858516717329621,0.002319645369425416
73,,,,1701,0.3502044379711151,0.3502044379711151,,,0.0026042181998491287,,,,,,,
74,,,,1724,,,,,,,0.38236674666404724,0.5177067518234253,0.38236674666404724,0.5177067518234253,0.0018884151941165328,0.08259816467761993
74,,,,1724,0.408612996339798,0.408612996339798,,,0.003744686720892787,,,,,,,
75,,,,1747,,,,,,,0.4313666820526123,0.3795549273490906,0.4313666820526123,0.3795549273490906,0.0037559836637228727,0.00285393837839365
75,,,,1747,0.3362967073917389,0.3362967073917389,,,0.0016912990249693394,,,,,,,
,,1.2e-05,,1749,,,,,,,,,,,,
76,1749.0,,1.2000000424450263e-05,1749,,,0.5328209400177002,0.5328209400177002,,0.0020931398030370474,,,,,,
76,,,,1770,,,,,,,0.45032039284706116,0.45256996154785156,0.45032039284706116,0.45256996154785156,0.0018613880965858698,0.0018720770021900535
76,,,,1770,0.36960268020629883,0.36960268020629883,,,0.00547242583706975,,,,,,,
77,,,,1793,,,,,,,0.349018394947052,0.238303542137146,0.349018394947052,0.238303542137146,0.0013401213800534606,0.0009975491557270288
77,,,,1793,0.39199164509773254,0.39199164509773254,,,0.003049138467758894,,,,,,,
,,1.2e-05,,1799,,,,,,,,,,,,
78,1799.0,,1.2000000424450263e-05,1799,,,0.10635808855295181,0.10635808855295181,,0.0005760897183790803,,,,,,
78,,,,1816,,,,,,,0.23187148571014404,0.4057714343070984,0.23187148571014404,0.4057714343070984,0.0026276567950844765,0.0015837984392419457
78,,,,1816,0.3093685209751129,0.3093685209751129,,,0.002932787174358964,,,,,,,
79,,,,1839,,,,,,,0.44420987367630005,0.17210206389427185,0.44420987367630005,0.17210206389427185,0.0016975847538560629,0.0007714734529145062
79,,,,1839,0.34140586853027344,0.34140586853027344,,,0.002565736183896661,,,,,,,
,,1.2e-05,,1849,,,,,,,,,,,,
80,1849.0,,1.2000000424450263e-05,1849,,,0.5048088431358337,0.5048088431358337,,0.002674603369086981,,,,,,
80,,,,1862,,,,,,,0.3627309203147888,0.19513478875160217,0.3627309203147888,0.19513478875160217,0.0021634181030094624,0.0008859304944053292
80,,,,1862,0.38375359773635864,0.38375359773635864,,,0.0045655169524252415,,,,,,,
81,,,,1885,,,,,,,0.5014047622680664,0.30650103092193604,0.5014047622680664,0.30650103092193604,0.0019644852727651596,0.01657671481370926
81,,,,1885,0.3507743775844574,0.3507743775844574,,,0.0031517604365944862,,,,,,,
,,1.2e-05,,1899,,,,,,,,,,,,
82,1899.0,,1.2000000424450263e-05,1899,,,0.43397873640060425,0.43397873640060425,,0.006052268203347921,,,,,,
82,,,,1908,,,,,,,0.2979113757610321,0.2200591117143631,0.2979113757610321,0.2200591117143631,0.0015161859337240458,0.0011105635203421116
82,,,,1908,0.3062562644481659,0.3062562644481659,,,0.004673199728131294,,,,,,,
83,,,,1931,,,,,,,0.30212876200675964,0.3350735604763031,0.30212876200675964,0.3350735604763031,0.0014344739029183984,0.0013489880366250873
83,,,,1931,0.433992862701416,0.433992862701416,,,0.005966954864561558,,,,,,,
,,1.2e-05,,1949,,,,,,,,,,,,
84,1949.0,,1.2000000424450263e-05,1949,,,0.270573228597641,0.270573228597641,,0.0010900453198701143,,,,,,
84,,,,1954,,,,,,,0.3537274897098541,0.3315199613571167,0.3537274897098541,0.3315199613571167,0.0026046154089272022,0.0013219829415902495
84,,,,1954,0.3152419328689575,0.3152419328689575,,,0.0017260783351957798,,,,,,,
85,,,,1977,,,,,,,0.2594771981239319,0.24952006340026855,0.2594771981239319,0.24952006340026855,0.0011066405568271875,0.0010951462900266051
85,,,,1977,0.3387945294380188,0.3387945294380188,,,0.006466192193329334,,,,,,,
,,1.2e-05,,1999,,,,,,,,,,,,
86,1999.0,,1.2000000424450263e-05,1999,,,0.26317518949508667,0.26317518949508667,,0.001055819564498961,,,,,,
86,,,,2000,,,,,,,0.3133748173713684,0.26720452308654785,0.3133748173713684,0.26720452308654785,0.0016051704296842217,0.001119987922720611
86,,,,2000,0.27132242918014526,0.27132242918014526,,,0.0017197151901200414,,,,,,,
87,,,,2023,,,,,,,0.22642362117767334,0.5611408352851868,0.22642362117767334,0.5611408352851868,0.0009633617592044175,0.0026695947162806988
87,,,,2023,0.31287479400634766,0.31287479400634766,,,0.0016481166239827871,,,,,,,
88,,,,2046,,,,,,,0.5268370509147644,0.36011260747909546,0.5268370509147644,0.36011260747909546,0.0027933153323829174,0.0014005983248353004
88,,,,2046,0.33941102027893066,0.33941102027893066,,,0.002984029008075595,,,,,,,
,,1.2e-05,,2049,,,,,,,,,,,,
89,2049.0,,1.2000000424450263e-05,2049,,,0.5219930410385132,0.5219930410385132,,0.0019822956528514624,,,,,,
89,,,,2069,,,,,,,0.4309522211551666,0.3197227418422699,0.4309522211551666,0.3197227418422699,0.08083868026733398,0.0014336557360365987
89,,,,2069,0.28472045063972473,0.28472045063972473,,,0.0013564096298068762,,,,,,,
90,,,,2092,,,,,,,0.4310019016265869,0.11130465567111969,0.4310019016265869,0.11130465567111969,0.0031645051203668118,0.0005824803374707699
